year,winner,runnerup,location,id,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years,45 to 64 Years,65 Years and Over,letter,frequency
1930,Uruguay,Argentina,Uruguay,AL,310504,552339,259034,450818,1231572,1215966,641667,1998,0.08167
1934,Italy,Czechoslovakia,Italy,AK,52083,85640,42153,74257,198724,183159,50277,1999,0.01492
1938,Italy,Hungary,France,AZ,515910,828669,362642,601943,1804762,1523681,862573,2000,0.0278
1950,Uruguay,Brazil,Brazil,AR,202070,343207,157204,264160,754420,727124,407205,2001,0.04253
1954,Germany FR,Hungary,Switzerland,CA,2704659,4499890,2159981,3853788,10604510,8819342,4114496,2002,0.10012
1958,Brazil,Sweden,Sweden,CO,358280,587154,261701,466194,1464939,1290094,511094,2003,0.02288
1962,Brazil,Czechoslovakia,Chile,CT,211637,403658,196918,325110,916955,968967,478007,2004,0.02022
1966,England,Germany FR,England,DE,59319,99496,47414,84464,230183,230528,121688,2005,0.06094
1970,Brazil,Italy,Mexico,DC,36352,50439,25225,75569,193557,140043,70648,2006,0.06973
1974,Germany FR,Netherlands,Germany,FL,1140516,1938695,925060,1607297,4782119,4746856,3187797,2007,0.01153
1978,Argentina,Netherlands,Argentina,GA,740521,1250460,557860,919876,2846985,2389018,981024,2008,0.00747
1982,Italy,Germany ,Spain,HI,87207,134025,64011,124834,356237,331817,190067,2009,0.04025
1986,Argentina,Germany ,Mexico,ID,121746,201192,89702,147606,406247,375173,182150,2010,0.02517
1990,Germany FR,Argentina,Italy,IL,894368,1558919,725973,1311479,3596343,3239173,1575308,2011,0.06749
1994,Brazil,Italy,USA,IN,443089,780199,361393,605863,1724528,1647881,813839,2012,0.07507
1998,France,Brazil,France,IA,201321,345409,165883,306398,750505,788485,444554,2013,0.01929
2002,Brazil,Germany,South Korea,KS,202529,342134,155822,293114,728166,713663,366706,2014,0.11298
2006,Italy,France,Germany,KY,284601,493536,229927,381394,1179637,1134283,565867,2015,0.15987
2010,Spain,Netherlands,South Africa,LA,310716,542341,254916,471275,1162463,1128771,540314,2016,0.16333
2014,Germany,Argentina,Brazil,ME,71459,133656,69752,112682,331809,397911,199187,2017,0.11956
2018,France,Croatia,Russia,MD,371787,651923,316873,543470,1556225,1513754,679565,2018,0.12758
